OPM Use Case Inventory - updated 3/4/26,,,,,,
Tool/Application,Description,Sponsoring Office,Deployment Phase,First Production Use,Risk Classification,Compliance Documentation
Grok,"LLM employed across OPM for summarization, drafting, and decision support.",OCIO,Production,Q1 2026,Low-impact,"PTA, ATO"
MS Copilot,"LLM employed across OPM for summarization, drafting, and decision support.",OCIO,Production,Q2 2024,Low-impact,"PTA, ATO"
OpenAI ChatGPT,"LLM employed across OPM for summarization, drafting, and decision support.",OCIO,Pilot,Q3 2025,Low-impact,"PTA, waiver"
Codex,"An AI-powered tool that assists with code generation including writing, understanding, and transforming code across multiple programming languages.",OCIO,Sandbox,Q1 2026,Low-impact,Under review
USA Class [Open AI],AI powered classification tool to create federal position descriptions (PD).,Human Resources,Production,Q1 2024,Medium-impact,"AI Impact Assessment, PTA, ATO"
OPM Rexi Chatbot [Open AI],"Internal chatbot for document analysis, content creation, and brainstorming.",OCIO,Production,Q2 2025,Medium-impact,"PTA, waiver"
MS Defender,"A security platform that provides threat detection, endpoint protection and vulnerability management.",OCIO,Production,Q2 2022,Low-impact,"PTA, ATO"
Wiz,A cloud security platform that gives full-stack visibility into cloud environments.,OCIO,Production,Q4 2024,Low-impact,"PTA, ATO"
Zendesk,"A customer service and support platform that helps manage support tickets, customer inquiries, and service workflows.",OCIO,Production,Q4 2025,Low-impact,"PTA, ATO"
Waze,A community-driven navigation app that uses real?time user reports about traffic.,OCIO,Production,Q2 2022,Low-impact,"PTA, ATO"
Google Maps,"A navigation service that offers detailed maps, and directions.",OCIO,Production,Q2 2022,Low-impact,"PTA, ATO"
Apple iPhone,Smartphone with its own iOS operating system and ecosystem of apps and services.,OCIO,Production,Q1 2000,Low-impact,"PTA, ATO"
Apple Maps,Apple’s built?in mapping and navigation service.,OCIO,Production,Q2 2022,Low-impact,"PTA, ATO"